@RELATION	liability
@ATTRIBUTE	manufacturer_name	{'MEDTRONIC-PUERTO-RICO-OPERATIONS-CO.','LIFESCAN-INC.','ABBOTT-DIABETES-CARE-INC.','HILL-ROM-RITTER','ANIMAS-CORP.','BIOTRONIK-SE-&-CO.-KG','ELI-LILLY-AND-CO.','DEPUY-INTERNATIONAL','SORIN-CRM-S.R.L.','ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','CARDIAC-PACEMAKERS','BOSTON-SCIENTIFIC---SPENCER','BAXTER-HEALTHCARE---SINGAPORE','TERUMO-CARDIOVASCULAR-SYSTEMS-CORP.','CARL-ZEISS-SURGICAL-GMBH','HILL-ROM-INC','IMPACT-INSTRUMENTATION-INC.','ZOLL-MEDICAL-CORPORATION','MPROC-VILLALBA','BIOENTERICS-CORP','INVACARE-TAYLOR-STREET','MEDTRONIC-PUERTO-RICO-INC.','MEDTRONIC-MED-REL-INC.','COOK-INC.','BIOHORIZONS-IMPLANT-SYSTEMS-INC.','GUIDANT-CRM-CLONMEL-IRELAND','ALCON-PRECISION-DEVICE---SINKING-SPRING','STRYKER-OSTEOSYNTHESIS-SELZACH','ABBOTT-DIABETES-CARE-INC-USA','DISETRONIC-MEDICAL-SYSTEMS-INC.','BOSTON-SCIENTIFIC','IDEV-TECHNOLOGIES-INC.','ABBOTT-DIABETES-CARE-INC.-USA','ROCHE-DIAGNOSTICS','BOSTON-SCIENTIFIC---MARLBOROUGH','BAXTER-HEALTHCARE---MOUNTAIN-HOME','ANIMAS-CORPORATION','BOSTON-SCIENTIFIC---MAPLE-GROVE','PHILIPS-MEDICAL-SYSTEMS','STERIS-CORPORATION---MONTGOMERY','COOK-BIOTECH-INC.','CPI---DEL-CARIBE','ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','MEDTRONIC-NEUROMODULATION','GE-OEC-MEDICAL-SYSTEMS-(SLC)','IMMUCOR','STRYKER-SPINE-BORDEAUX','ETHICON-INC.','CYBERONICS-INC.','CARDIAC-PACEMAKERS-INC','W.L.-GORE-&-ASSOCIATES','ETHICON-ENDO-SURGERY-LLC.','BECKMAN-COULTER-INC.','MEDTRONIC-MINIMED','WELCH-ALLYN-PROTOCOL-INC.','HOSPIRA-INC.','CODMAN-AND-SHURTLEFF-INC','ROCHE-DIAGNOSTICS-CORP.','LIFESCAN-EUROPE-A-DIVISION-OF-CILAG-GMBH-INTL','MEDTRONIC-PUERTO-RICO-OPERATIONS-MED-REL','PHYSIO-CONTROL-INC.','ALCON---IRVINE-TECHNOLOGY-CENTER','NXSTAGE-MEDICAL-INC.','AMS-INNOVATION-CENTER','VASCULAR-SOLUTIONS-INC.','ORTHO-CLINICAL-DIAGNOSTICS-INC.','USSC-PUERTO-RICO','8010379-DEPUY-INTERNATIONAL','IMMUCOR-INC.','GE-OEC-MEDICAL-SYSTEMS-INC.','ETHICON-ENDO-SURGERY-INC-(CINCINNATI)','CONMED-LINVATEC','EV3-NEUROVASCULAR','EDWARDS-LIFESCIENCES-PR','EDWARDS-LIFESCIENCES','MEDTRONIC-INC.','BAXTER-HEALTHCARE---LARGO','ST.-JUDE-MEDICAL','GE-OEC-MEDICAL-SYSTEMS-GMBH','BAXTER-HEALTHCARE---CLEVELAND','CORDIS-DE-MEXICO','ST.-JUDE-MEDICAL---NEUROMODULATION','MEDTRONIC-MED-REL-MEDTRONIC-PUERTO-RICO','OLYMPUS-MEDICAL-SYSTEMS-CORPORATION','CARDIAC-PACEMAKERS-INC.','AV-TEMECULA-CT','COCHLEAR-LTD.','ABBOTT-VASCULAR-CARDIAC-THERAPIES','SORIN-CRM','BAXTER-HEALTHCARE-CORP','NELLCOR-PURITAN-BENNETT','ATHLONE','MEDTRONIC-S.A.','THE-ANSPACH-EFFORT-INC.','FISHER-&-PAYKEL-HEALTHCARE-LTD.','ETHICON-ENDO-SURGERY-LLC','SYNTHES-GMBH','POPULAR-PLASTICS','ETHICON-ENDO-SURGERY-INC.-(CINCINNATI)','STRYKER-MEDICAL','DEPUY-ORTHOPAEDICS-INC.','MEDTRONIC-INC.-NEUROLOGICAL-DIVISION','HILL-ROM-INC.','MEDTRONIC-SOFAMOR-DANEK-MANUFACTURING','DEPUY-RAYNHAM-A-DIVISION-OF-DEPUY-ORTHOPAEDICS-INC.','SOLTA-MEDICAL','ROCHE-INSULIN-DELIVERY-SYSTEMS-INC.','MEDTRONIC-IRELAND','UNKNOWN-MANUFACTURING-FACILITY','NEUROLOGICAL-DIV.-MEDTRONIC-INC','CARDIAC-PACEMAKERS-INC.-GUIDANT-PUERTO-RICO-B.V.','FRESENIUS-MEDICAL-CARE','ETHICON-ENDO-SURGERY','ABBOTT-VASCULAR---CARDIAC-THERAPIES','THE-ANSPACH-EFFORT','INTUITIVE-SURGICAL-INC.','MEDTRONIC-INC.-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','POREX-SURGICAL','GENTEEL-HOMECARE-PRODUCTS','COOPERVISION-MANUFACTURING-LTD.','STRYKER-ENDOSCOPY-SAN-JOSE','SIEMENS-HEALTHCARE-DIAGNOSTICS','MEDTRONIC','SETO-FACTORY-OF-ASAHI-INTECC-CO.','APPLIED-MEDICAL-RESOURCES','ZIMMER-GMBH','MENTOR','SMITHS-MEDICAL-MD','MDT-PUERTO-RICO-OPERATIONS-CO','HAMILTON-BONADUZ-AG','ALCON-LABORATORIES-INC.','STAAR-SURGICAL-CO.','DAVOL-INC.-SUB.-C.R.-BARD-INC.','ZOLL-LIFECOR-CORPORATION','BAXTER-HEALTHCARE','EXACTECH-INC.','MEDTRONIC-MILACA-INC.','VOLCANO-CORPORATION','ABBOTT-VASCULAR-REDWOOD-CITY','BAUSCH-&-LOMB-INC.','BOSTON-SCIENTIFIC-CORPORATION','ZOLL-LIFECOR-CORP','NOVA-BIOMEDICAL-CORPORATION','BAXTER-HEALTHCARE-CORP.','BAYER-HEALTHCARE-LLC','ABBOTT-DIABETES-CARE-LIMITED-UK','GE-OEC-MEDICAL-SYSTEMS-INC','ABBOTT-MANUFACTURING-INC.','TRINITY-STERILE-INC.','BOSTON-SCIENTIFIC---MIAMI','DEPUY-WARSAW','ANGIOTECH-INTERVENTIONAL','DEPUY-MITEK','BECTON-DICKINSON','COOK-ENDOSCOPY','ADVANCED-STERILIZATION-PRODUCTS','ZOLL-CIRCULATION-INC.','ABBOTT-DIAGNOSTICS-DIVISION/CELLDYN','','MEDTRONIC-B.V.','MAQUET-GMBH-AND-CO.-KG','HOSPIRA-DE-COSTA-RICA-LTD','MDT-PUERTO-RICO-OPERATIONS-CO.-JUNCOS','GLOBAL-PHARMACOVIGILANCE-AND-EPIDEMIOLOGY/SANOFI-AVENTIS','STRYKER','OGDEN-MFG','INTERNATIONAL-TECHNIDYNE-CORP.','ST-JUDE-MEDICAL---NEUROMODULATION-DIV','ALCON---FORT-WORTH/ALCON-LABORATORIES-INC.','RESPIRONICS-INC.','PERCLOSE-INC','COVIDIEN-LP-(VALLEYLAB)','SIEMENS-HEALTHCARE-DIAGNOSTICS-INC.','CORNEAL','OTISMED-CORPORATION','FISHER-&-PAYKEL-HEALTHCARE-LTD','SYNTHES-(USA)','ZIMMER','DEPUY-INTL.-LTD.-?-REG.-#-8010379','CARDINAL-HEALTH-207-INC','1818910-DEPUY-ORTHOPAEDICS-INC.','PURITAN-BENNETT-CORP.','DEPUY-RAYNHAM'}
@ATTRIBUTE	device_operator	{'LAY-USER/PATIENT','0','HEALTH-PROFESSIONAL','OTHER','PHYSICIAN','OTHER-HEALTH-CARE-PROFESSIONAL','MEDICAL-TECHNOLOGIST','PATIENT','UNKNOWN','NOT-APPLICABLE','INVALID-DATA','MEDICAL-ASSISTANT','SERVICE-AND-TESTING-PERSONNEL',''}
@ATTRIBUTE	reporter_occupation_code	{'OTHER','LAY-USER/PATIENT','UNKNOWN','NOT-APPLICABLE','ATTORNEY','PHYSICIAN','HEALTH-PROFESSIONAL','NURSE','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NO-INFORMATION','DENTIST','MEDICAL-TECHNOLOGIST','PHARMACIST','INVALID-DATA','OTHER-HEALTH-CARE-PROFESSIONAL','PATIENT','','MEDICAL-ASSISTANT','AUDIOLOGIST','BIOMEDICAL-ENGINEER','SERVICE-AND-TESTING-PERSONNEL','RISK-MANAGER'}
@ATTRIBUTE	device_report_product_code	{'OYC','NBW','LFR','FNL','LZG','MRM','FMF','KWA','NVZ','GEI','NIK','FFL','FPA','DWA','MHY','EPT','CBK','MKJ','KNS','?','ITI','LWS','MIH','DZE','HNN','LXH','MAF','FGE','CEM','FKX','FTD','DTB','FTL','NVY','LKK','JAA','KSZ','KWQ','GAM','LYJ','DXY','MLV','FZP','GDW','GKZ','NIQ','FRN','HCG','CFR','HQC','LFL','KDI','GEX','MHW','JJE','GCJ','LPH','KNW','GET','MFE','JTC','DYG','KRH','MGB','LGW','FDF','MDS','MCM','DQA','BSR','HBB','GCT','BTT','HTW','INN','GDO','INK','KWP','NJL','NKE','MMI','LNX','LOX','JOF','JDI','HWE','ITJ','LPL','FCW','JLW','FMK','DQX','KNY','HRS','HQE','HQL','MVK','JWH','DTE','DQO','LYL','MDM','KWB','EZW','FOZ','MSD','MBI','MND','MLR','DRM','OJX','NVN','FQO','LMH','KDJ','GKP','DYB','LPN','CHP','HWT','NQW','HWC','LDD','BZR'}
@ATTRIBUTE	expired	{TRUE,FALSE}
@ATTRIBUTE	class	{'Death','Injury','Malfunction','Other','No answer provided'}

@DATA
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','LAY-USER/PATIENT','LFR',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC.','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','HEALTH-PROFESSIONAL','PHYSICIAN','LWS',FALSE,'Injury'
'ETHICON-ENDO-SURGERY-LLC.','HEALTH-PROFESSIONAL','OTHER','FZP',FALSE,'Malfunction'
'APPLIED-MEDICAL-RESOURCES','HEALTH-PROFESSIONAL','NURSE','KNY',FALSE,'Malfunction'
'ZIMMER-GMBH','LAY-USER/PATIENT','OTHER','HRS',FALSE,'Injury'
'MENTOR','HEALTH-PROFESSIONAL','OTHER','FTL',FALSE,'Injury'
'ANIMAS-CORP.','LAY-USER/PATIENT','OTHER','LZG',FALSE,'Injury'
'SMITHS-MEDICAL-MD','HEALTH-PROFESSIONAL','OTHER','FRN',FALSE,'Malfunction'
'MDT-PUERTO-RICO-OPERATIONS-CO','HEALTH-PROFESSIONAL','HEALTH-PROFESSIONAL','LKK',FALSE,'Injury'
'CORDIS-DE-MEXICO','HEALTH-PROFESSIONAL','OTHER','NIQ',FALSE,'Injury'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Injury'
'HAMILTON-BONADUZ-AG','HEALTH-PROFESSIONAL','MEDICAL-TECHNOLOGIST','JTC',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','PHYSICIAN','LWS',TRUE,'Injury'
'ALCON-LABORATORIES-INC.','PHYSICIAN','RISK-MANAGER','HQE',FALSE,'Malfunction'
'MEDTRONIC-MINIMED','LAY-USER/PATIENT','OTHER','LZG',FALSE,'Injury'
'STAAR-SURGICAL-CO.','HEALTH-PROFESSIONAL','OTHER','HQL',FALSE,'Malfunction'
'ABBOTT-DIABETES-CARE-INC-USA','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'DAVOL-INC.-SUB.-C.R.-BARD-INC.','HEALTH-PROFESSIONAL','OTHER','FTL',FALSE,'Injury'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','LAY-USER/PATIENT','DTB',FALSE,'Injury'
'ZOLL-LIFECOR-CORPORATION','LAY-USER/PATIENT','OTHER','MVK',FALSE,'Malfunction'
'ZOLL-MEDICAL-CORPORATION','OTHER','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'BAXTER-HEALTHCARE','LAY-USER/PATIENT','PATIENT','FKX',FALSE,'Injury'
'BAXTER-HEALTHCARE---SINGAPORE','0','OTHER','FRN',FALSE,'Malfunction'
'EXACTECH-INC.','HEALTH-PROFESSIONAL','OTHER','JWH',FALSE,'Other'
'MEDTRONIC-MILACA-INC.','HEALTH-PROFESSIONAL','OTHER','DTE',FALSE,'Malfunction'
'VOLCANO-CORPORATION','HEALTH-PROFESSIONAL','INVALID-DATA','DQO',FALSE,'Other'
'BECKMAN-COULTER-INC.','HEALTH-PROFESSIONAL','HEALTH-PROFESSIONAL','JJE',FALSE,'Malfunction'
'ABBOTT-VASCULAR-REDWOOD-CITY','HEALTH-PROFESSIONAL','PHYSICIAN','MGB',FALSE,'Malfunction'
'ZOLL-LIFECOR-CORPORATION','LAY-USER/PATIENT','NOT-APPLICABLE','MVK',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','DXY',FALSE,'Injury'
'BAUSCH-&-LOMB-INC.','LAY-USER/PATIENT','PHYSICIAN','LYL',FALSE,'Injury'
'COCHLEAR-LTD.','LAY-USER/PATIENT','OTHER','MCM',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC-CORPORATION','HEALTH-PROFESSIONAL','PHYSICIAN','MDM',FALSE,'Injury'
'ZOLL-LIFECOR-CORP','LAY-USER/PATIENT','NOT-APPLICABLE','MVK',FALSE,'Malfunction'
'DEPUY-ORTHOPAEDICS-INC.','HEALTH-PROFESSIONAL','OTHER','KWB',FALSE,'Injury'
'ROCHE-DIAGNOSTICS','LAY-USER/PATIENT','PATIENT','LFR',FALSE,'Malfunction'
'ANIMAS-CORPORATION','LAY-USER/PATIENT','PATIENT','LZG',FALSE,'Malfunction'
'GUIDANT-CRM-CLONMEL-IRELAND','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','LWS',TRUE,'Injury'
'NOVA-BIOMEDICAL-CORPORATION','LAY-USER/PATIENT','OTHER','NBW',FALSE,'Malfunction'
'BAXTER-HEALTHCARE---LARGO','HEALTH-PROFESSIONAL','BIOMEDICAL-ENGINEER','FRN',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','PHYSICIAN','NIQ',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-LLC.','HEALTH-PROFESSIONAL','OTHER','FZP',FALSE,'Injury'
'BAXTER-HEALTHCARE-CORP.','HEALTH-PROFESSIONAL','BIOMEDICAL-ENGINEER','FRN',FALSE,'Malfunction'
'ZOLL-MEDICAL-CORPORATION','HEALTH-PROFESSIONAL','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'ROCHE-INSULIN-DELIVERY-SYSTEMS-INC.','LAY-USER/PATIENT','UNKNOWN','LZG',FALSE,'Malfunction'
'BAYER-HEALTHCARE-LLC','LAY-USER/PATIENT','OTHER','NBW',FALSE,'Malfunction'
'DAVOL-INC.-SUB.-C.R.-BARD-INC.','HEALTH-PROFESSIONAL','OTHER','FTL',FALSE,'Injury'
'LIFESCAN-INC.','LAY-USER/PATIENT','PATIENT','NBW',FALSE,'Injury'
'ABBOTT-DIABETES-CARE-LIMITED-UK','LAY-USER/PATIENT','NO-INFORMATION','NBW',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-OPERATIONS-CO.','HEALTH-PROFESSIONAL','NOT-APPLICABLE','EZW',FALSE,'Malfunction'
'GE-OEC-MEDICAL-SYSTEMS-INC','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','JAA',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','PHYSICIAN','LWS',TRUE,'Injury'
'ABBOTT-MANUFACTURING-INC.','OTHER','OTHER','JJE',FALSE,'Malfunction'
'TRINITY-STERILE-INC.','HEALTH-PROFESSIONAL','NURSE','FOZ',FALSE,'Injury'
'BOSTON-SCIENTIFIC---MIAMI','PHYSICIAN','OTHER','DQX',FALSE,'Injury'
'DEPUY-WARSAW','HEALTH-PROFESSIONAL','PHYSICIAN','JWH',FALSE,'Injury'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','PHYSICIAN','DTB',FALSE,'Injury'
'ST-JUDE-MEDICAL-CARDIAC-RHYTHM-MANAGEMENT-DIVISION','HEALTH-PROFESSIONAL','PHYSICIAN','LWS',FALSE,'Injury'
'ANGIOTECH-INTERVENTIONAL','HEALTH-PROFESSIONAL','NURSE','MSD',FALSE,'Malfunction'
'BOSTON-SCIENTIFIC','HEALTH-PROFESSIONAL','OTHER','LOX',FALSE,'Malfunction'
'DEPUY-MITEK','HEALTH-PROFESSIONAL','OTHER','MBI',FALSE,'Injury'
'MEDTRONIC-NEUROMODULATION','HEALTH-PROFESSIONAL','PHYSICIAN','LGW',FALSE,'Injury'
'BECTON-DICKINSON','LAY-USER/PATIENT','UNKNOWN','NBW',FALSE,'Other'
'COOK-ENDOSCOPY','HEALTH-PROFESSIONAL','NURSE','MND',FALSE,'No answer provided'
'WELCH-ALLYN-PROTOCOL-INC.','OTHER','OTHER','MKJ',FALSE,'Malfunction'
'ADVANCED-STERILIZATION-PRODUCTS','HEALTH-PROFESSIONAL','OTHER','MLR',FALSE,'Malfunction'
'ZOLL-CIRCULATION-INC.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','DRM',FALSE,'Malfunction'
'CPI---DEL-CARIBE','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','OJX',FALSE,'Injury'
'CPI---DEL-CARIBE','LAY-USER/PATIENT','PHYSICIAN','LWS',TRUE,'Injury'
'ABBOTT-DIAGNOSTICS-DIVISION/CELLDYN','HEALTH-PROFESSIONAL','OTHER','GKZ',FALSE,'Malfunction'
'CPI---DEL-CARIBE','LAY-USER/PATIENT','HEALTH-PROFESSIONAL','NVN',TRUE,'Injury'
'','LAY-USER/PATIENT','OTHER','NBW',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','OTHER','LWS',TRUE,'Malfunction'
'INTUITIVE-SURGICAL-INC.','HEALTH-PROFESSIONAL','UNKNOWN','GEI',FALSE,'Malfunction'
'MEDTRONIC-B.V.','LAY-USER/PATIENT','PHYSICIAN','LWS',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','NIK',FALSE,'Injury'
'ETHICON-ENDO-SURGERY-INC.(CINCINNATI)','HEALTH-PROFESSIONAL','OTHER','GCJ',FALSE,'Malfunction'
'CPI---DEL-CARIBE','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NVN',FALSE,'Injury'
'CYBERONICS-INC.','LAY-USER/PATIENT','OTHER','LYJ',TRUE,'Injury'
'MEDTRONIC-MINIMED','LAY-USER/PATIENT','OTHER','LZG',FALSE,'Injury'
'MAQUET-GMBH-AND-CO.-KG','','','FQO',FALSE,'Other'
'HOSPIRA-DE-COSTA-RICA-LTD','HEALTH-PROFESSIONAL','PHARMACIST','FRN',FALSE,'Malfunction'
'MDT-PUERTO-RICO-OPERATIONS-CO.-JUNCOS','HEALTH-PROFESSIONAL','PHYSICIAN','EZW',FALSE,'Injury'
'LIFESCAN-INC.','LAY-USER/PATIENT','LAY-USER/PATIENT','NBW',FALSE,'Malfunction'
'GLOBAL-PHARMACOVIGILANCE-AND-EPIDEMIOLOGY/SANOFI-AVENTIS','0','NO-INFORMATION','LMH',FALSE,'No answer provided'
'STRYKER','HEALTH-PROFESSIONAL','RISK-MANAGER','KNS',FALSE,'Malfunction'
'OGDEN-MFG','HEALTH-PROFESSIONAL','NURSE','KDI',FALSE,'Malfunction'
'MEDTRONIC-IRELAND','HEALTH-PROFESSIONAL','PHYSICIAN','NIQ',FALSE,'Death'
'ABBOTT-DIABETES-CARE-INC.-USA','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','DXY',FALSE,'Injury'
'WELCH-ALLYN-PROTOCOL-INC.','HEALTH-PROFESSIONAL','NOT-APPLICABLE','MKJ',FALSE,'Malfunction'
'BAXTER-HEALTHCARE','LAY-USER/PATIENT','HEALTH-PROFESSIONAL','KDJ',FALSE,'Injury'
'INTERNATIONAL-TECHNIDYNE-CORP.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','GKP',FALSE,'Malfunction'
'ST-JUDE-MEDICAL---NEUROMODULATION-DIV','HEALTH-PROFESSIONAL','OTHER','LGW',FALSE,'Injury'
'MEDTRONIC-MED-REL-INC.','LAY-USER/PATIENT','PHYSICIAN','NIK',FALSE,'Injury'
'LIFESCAN-INC.','LAY-USER/PATIENT','OTHER','NBW',FALSE,'Malfunction'
'ST.-JUDE-MEDICAL','HEALTH-PROFESSIONAL','PHYSICIAN','DYB',FALSE,'Malfunction'
'PHILIPS-MEDICAL-SYSTEMS','HEALTH-PROFESSIONAL','UNKNOWN','MKJ',FALSE,'Malfunction'
'BAXTER-HEALTHCARE-CORP.','HEALTH-PROFESSIONAL','OTHER','FRN',FALSE,'Malfunction'
'BAXTER-HEALTHCARE---LARGO','LAY-USER/PATIENT','OTHER','FKX',FALSE,'Malfunction'
'ALCON---FORT-WORTH/ALCON-LABORATORIES-INC.','OTHER','OTHER','LPN',FALSE,'Injury'
'ABBOTT-DIABETES-CARE-INC.','LAY-USER/PATIENT','NO-INFORMATION','LFR',FALSE,'Malfunction'
'RESPIRONICS-INC.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','CBK',FALSE,'Malfunction'
'PERCLOSE-INC','HEALTH-PROFESSIONAL','PHYSICIAN','MGB',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','INVALID-DATA','LWS',FALSE,'Injury'
'CYBERONICS-INC.','HEALTH-PROFESSIONAL','OTHER','LYJ',FALSE,'Malfunction'
'COVIDIEN-LP-(VALLEYLAB)','HEALTH-PROFESSIONAL','OTHER','GEI',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','LAY-USER/PATIENT','LWS',TRUE,'Malfunction'
'PHILIPS-MEDICAL-SYSTEMS','HEALTH-PROFESSIONAL','BIOMEDICAL-ENGINEER','MKJ',FALSE,'Malfunction'
'DEPUY-ORTHOPAEDICS-INC.','HEALTH-PROFESSIONAL','OTHER','KWB',FALSE,'Injury'
'SIEMENS-HEALTHCARE-DIAGNOSTICS-INC.','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','CHP',FALSE,'Malfunction'
'CORNEAL','HEALTH-PROFESSIONAL','PHYSICIAN','LMH',FALSE,'Injury'
'OTISMED-CORPORATION','HEALTH-PROFESSIONAL','PHYSICIAN','HWT',FALSE,'Malfunction'
'FISHER-&-PAYKEL-HEALTHCARE-LTD','HEALTH-PROFESSIONAL','OTHER-HEALTH-CARE-PROFESSIONAL','BTT',FALSE,'Malfunction'
'MEDTRONIC-PUERTO-RICO-INC.','LAY-USER/PATIENT','INVALID-DATA','DTB',FALSE,'Malfunction'
'CPI---DEL-CARIBE','LAY-USER/PATIENT','MEDICAL-EQUIPMENT-COMPANY-TECHNICIAN/REPRESENTATIVE','NVN',FALSE,'Injury'
'ETHICON-ENDO-SURGERY-INC.-(CINCINNATI)','INVALID-DATA','OTHER','LFL',FALSE,'Malfunction'
'SYNTHES-(USA)','HEALTH-PROFESSIONAL','OTHER','NQW',FALSE,'Malfunction'
'ZIMMER','HEALTH-PROFESSIONAL','PHYSICIAN','HWC',TRUE,'Malfunction'
'DEPUY-WARSAW','HEALTH-PROFESSIONAL','PHYSICIAN','HWC',FALSE,'Injury'
'PHILIPS-MEDICAL-SYSTEMS','HEALTH-PROFESSIONAL','BIOMEDICAL-ENGINEER','LDD',FALSE,'Malfunction'
'DEPUY-INTL.-LTD.-?-REG.-#-8010379','PHYSICIAN','ATTORNEY','JDI',FALSE,'Injury'
'CARDINAL-HEALTH-207-INC','HEALTH-PROFESSIONAL','OTHER','BZR',FALSE,'Malfunction'
'CARDIAC-PACEMAKERS-INC','UNKNOWN','LAY-USER/PATIENT','DXY',FALSE,'Injury'
'1818910-DEPUY-ORTHOPAEDICS-INC.','PHYSICIAN','PHYSICIAN','KWA',FALSE,'Injury'
'CARDIAC-PACEMAKERS-INC','HEALTH-PROFESSIONAL','PHYSICIAN','LWS',FALSE,'Malfunction'
'PURITAN-BENNETT-CORP.','HEALTH-PROFESSIONAL','OTHER','CBK',FALSE,'Malfunction'
'DISETRONIC-MEDICAL-SYSTEMS-INC.','LAY-USER/PATIENT','UNKNOWN','LZG',FALSE,'Malfunction'
'DEPUY-RAYNHAM','HEALTH-PROFESSIONAL','PHYSICIAN','JWH',FALSE,'Injury'
'MEDTRONIC-MINIMED','LAY-USER/PATIENT','NOT-APPLICABLE','MDS',FALSE,'Injury'
'MEDTRONIC-S.A.','LAY-USER/PATIENT','PHYSICIAN','DXY',FALSE,'Injury'
'CYBERONICS-INC.','OTHER','NOT-APPLICABLE','LNX',FALSE,'Malfunction'
'ETHICON-ENDO-SURGERY-INC-(CINCINNATI)','HEALTH-PROFESSIONAL','OTHER','GDW',FALSE,'Malfunction'
